cgdivision,ownergroup,pmnum,pmdescription,jpdescription,nexttrigger,unitstogo,alias,assetdescription,locdescription,metername,lastreading,pmstatus,assetstatus,assetnum,frequency,tolerance,wonum,wodescription,reportdate,lastpmwogenread,dayslate,curjpdescription,unitslate
String,String,String,String,String,Float,Float,String,String,String,String,Float,String,String,String,Float,Float,String,String,DateTime,Float,Integer,String,Integer
TRANSIT,TR-WESTNEY-WO,PM64356,8592 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,809438,788,8592,2014 - CONVENTIONAL NEW FLYER - 8592,DRT WESTNEY GARAGE,ODOMETER,808650,ACTIVE,OPERATING,1566391,10000,1000,T1071388,8592 - SERVICE INSPECTION,2026-01-29 3:00,798716,14,CONVENTIONAL NEW FLYER - D SERVICE,9212
TRANSIT,TR-RALEIGH-WO,PM36393,8507 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1150613,7707,8507,2011 - CONVENTIONAL NEW FLYER - 8507,DRT RALEIGH GARAGE,ODOMETER,1142906,ACTIVE,OPERATING,1200099,10000,1000,T1071698,11,2026-02-02 12:53,1140507,10,CONVENTIONAL NEW FLYER - B SERVICE,2293
TRANSIT,TR-RALEIGH-WO,PM36617,8566 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,640513,7757,8566,2017 - CONVENTIONAL NOVA  - 8566,DRT RALEIGH GARAGE,ODOMETER,632756,ACTIVE,OPERATING,1200155,10000,1000,T1071582,8566 - SERVICE INSPECTION,2026-01-31 3:01,629887,12,CONVENTIONAL NOVA - D SERVICE,2243
TRANSIT,TR-RALEIGH-WO,PM36741,8608 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,996061,7797,8608,2012 - CONVENTIONAL NEW FLYER- 8608,DRT RALEIGH GARAGE,ODOMETER,988264,ACTIVE,OPERATING,1200186,10000,1000,T1071838,8608 - SERVICE INSPECTION,2026-02-04 3:02,985136,8,CONVENTIONAL NEW FLYER - C SERVICE,2203
TRANSIT,TR-WESTNEY-WO,PM63952,6138 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,178546,7902,6138,2024 - CONVENTIONAL NOVA - 6138,DRT WESTNEY GARAGE,ODOMETER,170644,ACTIVE,OPERATING,1565625,10000,1000,T1071699,6138 - SERVICE INSPECTION,2026-02-02 12:53,167747,10,CONVENTIONAL NOVA - B SERVICE,2098
TRANSIT,TR-WESTNEY-WO,PM36413,8512 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1197383,7934,8512,2011 - CONVENTIONAL NEW FLYER - 8512,DRT WESTNEY GARAGE,ODOMETER,1189449,ACTIVE,OPERATING,1200104,10000,1000,T1071404,8512 - SERVICE INSPECTION,2026-01-29 3:02,1186707,14,CONVENTIONAL NEW FLYER - A SERVICE,2066
TRANSIT,TR-WESTNEY-WO,PM62118,6122 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - A SERVICE,270466,7953,6122,2022 - CONVENTIONAL NOVA HYBRID - 6122,DRT WESTNEY GARAGE,ODOMETER,262513,ACTIVE,OPERATING,1540688,10000,1000,T1071503,6122 - SERVICE INSPECTIONS,2026-01-30 3:03,259845,13,CONVENTIONAL NOVA HYBRID - B SERVICE,2047
TRANSIT,TR-WESTNEY-WO,PM64594,6146 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,164616,8016,6146,2024 - CONVENTIONAL NOVA - 6146,DRT WESTNEY GARAGE,ODOMETER,156600,ACTIVE,OPERATING,1566105,10000,1000,T1071851,6146 - SERVICE INSPECTION,2026-02-04 3:04,154035,8,CONVENTIONAL NOVA - B SERVICE,1984
TRANSIT,TR-WESTNEY-WO,PM36017,6104 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,534406,8071,6104,2018 - CONVENTIONAL NOVA - 6104,DRT WESTNEY GARAGE,ODOMETER,526335,ACTIVE,OPERATING,1200005,10000,1000,T1071403,6104 - SERVICE INSPECTION,2026-01-29 3:01,523439,14,CONVENTIONAL NOVA - A SERVICE,1929
